Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
54,Gastón von Mühlenbrock Zamora,Alianza,Unión Demócrata Independiente,19978,"25,78%",2009
55,Sergio Ojeda Uribe,Concertación,Democracia Cristiana ,23623,"30,44%",2009
55,Javier Hernández Hernández,Alianza,Unión Demócrata Independiente,22108,"28,49%",2009
56,Fidel Espinoza Sandoval,Concertación,Partido Socialista,39245,"51,30%",2009
56,Carlos Rencodo Lavanderos,Alianza,Unión Demócrata Independiente,18792,"24,57%",2009
57,Patricio Vallespin López,Concertación,Democracia Cristiana ,33782,"38,60%",2009
57,Marisol Turres Figueroa,Alianza,Unión Demócrata Independiente,28552,"32,62%",2009
58,Gabriel Ascencio Mansilla,Concertación,Democracia Cristiana ,17457,"23,10%",2009
58,Alejandro Santana Tirachini,Alianza,Renovación Nacional,27098,"35,86%",2009
59,René Alinco Bustos,Concertación,Partido por la Democracia ,9381,"22,90%",2009
59,David Sandoval Plaza,Alianza,Unión Demócrata Independiente,12902,"31,50%",2009
60,Carolina Goic Boroevic,Concertación,Democracia Cristiana ,22498,"34,00%",2009
60,Miodrag Marinovic Solo De Zaldívar,Independiente,Independiente,17512,"26,47%",2009
1,Luis Rocafull López,Nueva Mayoría,Partido Socialista,15064,"22,42%",2013
1,Vlado Mirosevic Verdugo,"Si tú quieres, Chile cambia",Partido Liberal,14301,"21,28%",2013
2,Hugo Gutiérrez Gálvez,Nueva Mayoría,Partido Comunista,23238,"28,79%",2013
2,Renzo Trisotti Martínez,Alianza,Unión Demócrata Independiente,20818,"25,80%",2013
3,Marcos Espinosa Monardes,Nueva Mayoría,Partido Radical,16877,"27,87%",2013
3,Felipe Ward Edwards,Alianza,Unión Demócrata Independiente,14604,"24,12%",2013
4,Marcela Hernando Pérez,Nueva Mayoría,Partido Radical,27226,"25,98%",2013
4,Paulina Núñez Urrutia,Alianza,Renovación Nacional,20565,"19,63%",2013
5,Lautaro Carmona Soto,Nueva Mayoría,Partido Comunista,23293,"41,90%",2013
